ID Year contested_auction
deal_1 1996 0
deal_2 1996 0
deal_3 1996 0
deal_4 1996 0
deal_5 1996 0
deal_6 1996 0
deal_7 1996 1
deal_8 1996 1
deal_9 1996 1
deal_10 1996 1
deal_11 1996 1
deal_12 1996 1
deal_13 1996 0
deal_14 1996 0
deal_15 1996 1
deal_16 1996 1
deal_17 1996 0
deal_18 1996 1
deal_19 1996 1
deal_20 1996 1
deal_21 1996 1
deal_22 1996 1
deal_23 1996 1
deal_24 1996 1
deal_25 1996 0
deal_26 1996 1
deal_27 1996 0
deal_28 1996 1
deal_29 1996 1
deal_30 1996 1
deal_31 1996 1
deal_32 1996 1
deal_33 1996 1
deal_34 1996 1
deal_35 1996 0
deal_36 1996 0
deal_37 1996 1
deal_38 1996 1
deal_39 1996 1
deal_40 1996 1
deal_41 1996 0
deal_42 1996 0
deal_43 1996 0
deal_44 1996 0
deal_45 1996 0
deal_46 1996 0
deal_47 1996 0
deal_48 1996 1
deal_49 1996 1
deal_50 1996 1
deal_51 1996 0
deal_52 1996 0
deal_53 1996 1
deal_54 1996 1
deal_55 1996 0
deal_56 1996 0
deal_57 1996 1
deal_58 1996 1
deal_59 1996 1
deal_60 1996 1
deal_61 1996 1
deal_62 1996 1
deal_63 1996 1
deal_64 1996 1
deal_65 1996 0
deal_66 1996 0
deal_67 1996 0
deal_68 1996 0
deal_69 1996 1
deal_70 1996 1
deal_71 1996 0
deal_72 1996 1
deal_73 1996 0
deal_74 1996 0
deal_75 1996 0
deal_76 1996 0
deal_77 1996 0
deal_78 1996 0
deal_79 1996 0
deal_80 1996 1
deal_81 1996 0
deal_82 1996 0
deal_83 1996 0
deal_84 1996 1
deal_85 1996 1
deal_86 1996 1
deal_87 1996 1
deal_88 1996 1
deal_89 1996 1
deal_90 1996 1
deal_91 1996 0
deal_92 1996 0
deal_93 1996 1
deal_94 1996 1
deal_95 1996 1
deal_96 1996 1
deal_97 1996 1
deal_98 1996 1
deal_99 1996 0
deal_100 1996 0
deal_101 1996 1
deal_102 1996 1
deal_103 1996 1
deal_104 1996 1
deal_105 1996 0
deal_106 1996 0
deal_107 1996 0
deal_108 1996 0
deal_109 1996 1
deal_110 1996 1
deal_111 1996 0
deal_112 1996 0
deal_113 1996 1
deal_114 1996 1
deal_115 1996 0
deal_116 1996 0
deal_117 1996 1
deal_118 1996 1
deal_119 1996 0
deal_120 1996 0
deal_121 1996 1
deal_122 1996 1
deal_123 1996 0
deal_124 1996 0
deal_125 1996 0
deal_126 1996 1
deal_127 1996 1
deal_128 1996 1
deal_131 1997 1
deal_132 1997 1
deal_133 1997 1
deal_134 1997 1
deal_135 1997 1
deal_136 1997 1
deal_137 1997 1
deal_138 1997 1
deal_139 1997 0
deal_140 1997 0
deal_141 1997 0
deal_142 1997 0
deal_143 1997 1
deal_144 1997 1
deal_145 1997 1
deal_146 1997 1
deal_147 1997 0
deal_148 1997 0
deal_149 1997 1
deal_150 1997 0
deal_151 1997 1
deal_152 1997 0
deal_153 1997 1
deal_154 1997 0
deal_155 1997 0
deal_156 1997 0
deal_157 1997 1
deal_158 1997 1
deal_159 1997 0
deal_160 1997 0
deal_165 1997 0
deal_166 1997 0
deal_167 1997 0
deal_168 1997 0
deal_169 1997 1
deal_171 1997 1
deal_172 1997 1
deal_173 1997 1
deal_174 1997 0
deal_175 1997 1
deal_176 1997 1
deal_177 1997 0
deal_178 1997 0
deal_179 1997 1
deal_180 1997 0
deal_181 1997 0
deal_182 1997 0
deal_183 1997 1
deal_184 1997 1
deal_185 1997 1
deal_186 1997 1
deal_187 1997 1
deal_188 1997 1
deal_189 1997 0
deal_190 1997 0
deal_191 1997 1
deal_192 1997 1
deal_193 1997 1
deal_194 1997 0
deal_195 1997 0
deal_196 1997 0
deal_197 1997 0
deal_198 1997 1
deal_199 1997 1
deal_200 1997 1
deal_201 1997 1
deal_202 1997 1
deal_203 1997 0
deal_204 1997 1
deal_205 1997 0
deal_206 1997 1
deal_207 1997 1
deal_208 1997 1
deal_209 1997 0
deal_211 1997 0
deal_212 1997 0
deal_213 1997 1
deal_214 1997 1
deal_215 1997 1
deal_216 1997 1
deal_217 1997 0
deal_218 1997 1
deal_219 1997 0
deal_220 1997 1
deal_221 1997 1
deal_222 1997 1
deal_223 1997 1
deal_224 1997 1
deal_225 1997 0
deal_226 1997 0
deal_227 1997 1
deal_228 1997 1
deal_229 1997 0
deal_230 1997 0
deal_231 1997 1
deal_232 1997 1
deal_233 1997 0
deal_234 1997 0
deal_235 1997 1
deal_236 1997 1
deal_237 1997 0
deal_238 1997 0
deal_239 1997 0
deal_240 1997 0
deal_241 1997 1
deal_242 1997 1
deal_243 1997 0
deal_244 1997 0
deal_245 1997 0
deal_246 1997 0
deal_247 1997 1
deal_248 1997 1
deal_249 1997 0
deal_250 1997 0
deal_251 1997 1
deal_252 1997 1
deal_253 1997 0
deal_254 1997 1
deal_255 1997 1
deal_256 1997 1
deal_257 1997 0
deal_258 1997 0
deal_259 1997 1
deal_261 1997 1
deal_263 1997 1
deal_265 1997 1
deal_267 1997 0
deal_269 1997 0
deal_271 1997 0
deal_273 1997 1
deal_275 1997 0
deal_276 1997 1
deal_277 1997 1
deal_278 1997 0
deal_279 1997 1
deal_280 1997 1
deal_281 1997 0
deal_282 1997 0
deal_283 1997 0
deal_284 1997 1
deal_285 1997 1
deal_286 1997 1
deal_287 1997 0
deal_288 1997 1
deal_289 1997 1
deal_290 1997 1
deal_291 1997 0
deal_292 1997 0
deal_293 1997 1
deal_294 1997 0
deal_295 1997 1
deal_296 1997 1
deal_297 1997 0
deal_298 1997 0
deal_299 1997 1
deal_300 1997 1
deal_301 1997 0
deal_302 1997 0
deal_303 1997 0
deal_304 1997 1
deal_305 1997 1
deal_306 1997 0
deal_307 1997 1
deal_308 1997 1
deal_309 1997 1
deal_310 1997 1
deal_311 1997 0
deal_312 1997 0
deal_313 1997 1
deal_314 1997 1
deal_315 1997 1
deal_316 1997 1
deal_317 1997 0
