id year bool
bb9_1 1991 0
bb9_2 1991 0
bb9_3 1991 1
bb9_4 1991 1
bb9_5 1991 0
bb9_6 1991 0
bb9_7 1991 0
bb9_8 1991 0
bb9_9 1991 1
bb9_10 1991 1
bb9_11 1991 1
bb9_12 1991 1
bb9_13 1991 1
bb9_14 1991 1
bb9_15 1991 1
bb9_16 1991 1
bb9_17 1991 0
bb9_18 1991 0
bb9_19 1991 1
bb9_20 1991 1
bb9_21 1991 1
bb9_22 1991 1
bb9_23 1991 1
bb9_24 1991 1
bb9_25 1991 1
bb9_26 1991 1
bb9_31 1991 1
bb9_32 1991 1
bb9_33 1991 0
bb9_34 1991 0
bb9_35 1991 0
bb9_36 1991 0
bb9_37 1991 0
bb9_38 1991 0
bb9_39 1991 0
bb9_40 1991 0
bb9_41 1991 0
bb9_42 1991 0
bb9_43 1991 1
bb9_44 1991 1
bb9_45 1991 0
bb9_46 1991 0
bb9_47 1991 1
bb9_48 1991 1
bb9_49 1991 0
bb9_50 1991 0
bb9_51 1991 0
bb9_52 1991 0
bb9_53 1991 1
bb9_54 1991 1
bb9_57 1991 0
bb9_58 1991 0
bb9_59 1991 0
bb9_60 1991 0
bb9_61 1991 1
bb9_62 1991 1
bb9_63 1991 1
bb9_64 1991 1
bb9_65 1991 1
bb9_66 1991 1
bb9_67 1991 1
bb9_68 1991 1
bb9_69 1991 0
bb9_70 1991 0
bb9_71 1991 1
bb9_72 1991 1
bb9_73 1991 0
bb9_74 1991 0
bb9_75 1991 0
bb9_76 1991 0
bb9_77 1991 1
bb9_78 1991 1
bb9_79 1991 0
bb9_80 1991 0
bb9_81 1991 1
bb9_82 1991 1
bb9_83 1991 1
bb9_84 1991 1
bb9_85 1991 0
bb9_86 1991 0
bb9_87 1991 1
bb9_88 1991 1
bb9_89 1991 0
bb9_90 1991 0
bb9_91 1991 1
bb9_92 1991 1
bb9_93 1991 1
bb9_94 1991 1
bb9_95 1991 1
bb9_96 1991 1
bb9_97 1991 0
bb9_98 1991 0
bb9_99 1991 1
bb9_100 1991 1
bb9_101 1991 0
bb9_102 1991 0
bb9_103 1991 0
bb9_104 1991 0
bb9_105 1991 1
bb9_106 1991 1
bb9_107 1991 0
bb9_108 1991 0
bb9_109 1991 1
bb9_110 1991 1
bb9_111 1991 1
bb9_112 1991 1
bb9_113 1991 0
bb9_114 1991 0
bb9_115 1991 1
bb9_116 1991 1
bb9_117 1991 0
bb9_118 1991 0
bb9_119 1991 1
bb9_120 1991 1
bb9_121 1991 0
bb9_122 1991 0
bb9_123 1991 1
bb9_124 1991 1
bb9_125 1991 1
bb9_126 1991 1
bb9_127 1991 1
bb9_128 1991 1
bb9_129 1991 0
bb9_130 1991 0
bb9_131 1991 0
bb9_132 1991 0
bb9_133 1991 0
bb9_134 1991 0
bb9_135 1991 0
bb9_136 1991 0
bb9_137 1991 1
bb9_138 1991 1
bb9_139 1991 1
bb9_140 1991 1
bb9_141 1991 1
bb9_142 1991 1
bb9_143 1991 0
bb9_144 1991 0
bb9_145 1991 0
bb9_149 1991 1
bb9_150 1991 1
bb9_151 1991 1
bb9_152 1991 1
bb9_153 1991 1
bb9_154 1991 1
bb9_155 1991 1
bb9_156 1991 1
bb9_157 1991 0
bb9_158 1991 0
bb9_164 1991 1
bb9_165 1991 1
bb9_166 1991 0
bb9_167 1991 0
bb9_168 1991 0
bb9_169 1991 0
bb9_170 1991 1
bb9_171 1991 1
bb9_172 1991 0
bb9_173 1991 0
bb9_174 1991 0
bb9_175 1991 0
bb9_176 1995 1
bb9_177 1995 1
bb9_178 1995 0
bb9_179 1995 0
bb9_180 1995 1
bb9_181 1995 1
bb9_182 1995 0
bb9_183 1995 0
bb9_184 1995 0
bb9_185 1995 0
bb9_186 1995 1
bb9_187 1995 1
bb9_188 1995 1
bb9_189 1995 1
bb9_190 1995 0
bb9_191 1995 0
bb9_192 1995 1
bb9_193 1995 1
bb9_194 1995 1
bb9_195 1995 1
bb9_196 1995 0
bb9_197 1995 0
bb9_198 1995 1
bb9_199 1995 1
bb9_200 1995 1
bb9_201 1995 1
bb9_202 1995 1
bb9_203 1995 1
bb9_204 1995 0
bb9_205 1995 0
bb9_206 1995 0
bb9_207 1995 0
bb9_208 1995 1
bb9_209 1995 1
bb9_210 1995 0
bb9_211 1995 0
bb9_212 1995 0
bb9_213 1995 0
bb9_214 1995 1
bb9_215 1995 1
bb9_216 1995 1
bb9_217 1995 1
bb9_218 1995 0
bb9_219 1995 0
bb9_220 1995 0
bb9_221 1995 0
bb9_222 1995 1
bb9_223 1995 1
bb9_224 1995 1
bb9_225 1995 1
bb9_226 1995 0
bb9_227 1995 0
bb9_228 1995 1
bb9_229 1995 1
bb9_230 1995 1
bb9_231 1995 1
bb9_232 1995 0
bb9_233 1995 0
bb9_234 1995 0
bb9_235 1995 0
bb9_236 1995 1
bb9_237 1995 1
bb9_238 1995 0
bb9_239 1995 0
bb9_240 1995 1
bb9_241 1995 1
bb9_242 1995 0
bb9_243 1995 0
bb9_244 1995 1
bb9_245 1995 1
bb9_246 1995 1
bb9_247 1995 1
bb9_248 1995 1
bb9_249 1995 1
bb9_250 1995 0
bb9_251 1995 0
bb9_252 1995 1
bb9_253 1995 1
bb9_254 1995 0
bb9_255 1995 0
bb9_256 1995 0
bb9_257 1995 0
bb9_258 1995 0
bb9_259 1995 0
bb9_260 1995 0
bb9_261 1995 0
bb9_262 1995 0
bb9_263 1995 0
bb9_264 1995 0
bb9_265 1995 0
bb9_266 1995 1
bb9_267 1995 1
bb9_268 1995 0
bb9_269 1995 0
bb9_270 1995 0
bb9_271 1995 0
bb9_272 1995 0
bb9_273 1995 0
bb9_274 1995 1
bb9_275 1995 1
bb9_276 1995 1
bb9_277 1995 1
bb9_278 1995 1
bb9_279 1995 1
bb9_280 1995 1
bb9_281 1995 1
bb9_282 1995 1
bb9_283 1995 1
bb9_284 1995 0
bb9_285 1995 0
bb9_286 1995 1
bb9_287 1995 1
bb9_288 1995 1
bb9_289 1995 1
bb9_290 1995 0
bb9_291 1995 0
bb9_292 1995 1
bb9_293 1995 1
bb9_294 1995 0
bb9_295 1995 0
bb9_296 1995 0
bb9_297 1995 0
bb9_298 1995 1
bb9_299 1995 1
bb9_300 1995 0
bb9_301 1995 0
bb9_302 1995 1
bb9_303 1995 1
bb9_304 1995 1
bb9_305 1995 1
bb9_306 1995 0
bb9_307 1995 0
bb9_308 1995 1
bb9_309 1995 1
bb9_310 1995 1
bb9_311 1995 1
bb9_312 1995 0
bb9_313 1995 0
bb9_314 1995 1
bb9_315 1995 1
bb9_316 1995 0
bb9_317 1995 0
bb9_318 1995 1
bb9_319 1995 1
bb9_320 1995 0
bb9_321 1995 0
bb9_322 1995 0
bb9_323 1995 0
bb9_324 1995 1
bb9_325 1995 1
bb9_326 1995 0
bb9_327 1995 0
bb9_328 1995 1
bb9_329 1995 1
bb9_330 1995 0
bb9_331 1995 0
bb9_332 1995 0
bb9_333 1995 0
bb9_334 1995 1
bb9_335 1995 1
bb9_336 1995 1
bb9_337 1995 1
bb9_338 1995 1
bb9_339 1995 1
bb9_340 1995 0
bb9_341 1995 0
bb9_342 1995 1
bb9_343 1995 1
bb9_344 1995 0
bb9_345 1995 0
bb9_346 1995 0
bb9_347 1995 0
bb9_348 1995 0
bb9_349 1995 0
bb9_350 1995 1
bb9_351 1995 1
bb9_352 1995 0
bb9_353 1995 0
bb9_354 1995 0
bb9_355 1995 0
bb9_356 1995 0
bb9_357 1995 0
bb9_358 1995 0
bb9_359 1995 0
bb9_360 1995 0
bb9_361 1995 0
bb9_362 1995 1
bb9_363 1995 1
bb9_364 1995 0
bb9_365 1995 0
bb9_366 1995 0
bb9_367 1995 0
bb9_368 1995 0
bb9_369 1995 0
bb9_370 1995 1
bb9_371 1995 1
bb9_372 1995 0
bb9_373 1995 0
bb9_374 1995 1
bb9_375 1995 1
bb9_376 1995 0
bb9_377 1995 0
bb9_378 1995 0
bb9_379 1995 0
bb9_380 1995 0
bb9_381 1995 0
bb9_382 1995 1
bb9_383 1995 1
bb9_384 1995 0
bb9_385 1995 0
bb9_386 1995 0
bb9_387 1995 0
bb9_388 1995 0
bb9_389 1995 0
bb9_390 1995 1
bb9_391 1995 1
bb9_392 1995 1
bb9_393 1995 1
bb9_394 1995 1
bb9_395 1995 1
bb9_396 1995 0
bb9_397 1995 0
bb9_398 1995 0
bb9_399 1995 0
bb9_400 1995 0
bb9_401 1995 0
bb9_402 1995 1
bb9_403 1995 1
bb9_404 1995 1
bb9_405 1995 1
bb9_406 1995 1
bb9_407 1995 1
bb9_408 1995 0
bb9_409 1995 0
bb9_410 1995 0
bb9_411 1995 0
bb9_412 1995 1
bb9_413 1995 1
bb9_414 1995 1
bb9_415 1995 1
bb9_416 1995 1
bb9_417 1995 1
bb9_418 1995 0
bb9_419 1995 0
bb9_420 1995 1
bb9_421 1995 1
bb9_422 1995 1
bb9_423 1995 1
bb9_424 1995 1
bb9_425 1995 1
bb9_426 1995 1
bb9_427 1995 1
bb9_428 1995 1
bb9_430 1995 1
bb9_431 1995 1
bb9_432 1995 1
bb9_433 1995 1
bb9_434 1995 0
bb9_435 1995 0
bb9_436 1995 1
bb9_437 1995 1
bb9_438 1995 0
bb9_439 1995 0
bb9_440 1995 0
bb9_441 1995 0
bb9_442 1995 1
bb9_443 1995 1
bb9_444 1995 1
bb9_445 1995 1
bb9_446 1995 0
bb9_447 1995 0
bb9_448 1995 0
bb9_449 1995 0
bb9_450 1995 1
bb9_451 1995 1
bb9_452 1995 0
bb9_453 1995 0
bb9_454 1995 0
bb9_455 1995 0
bb9_456 1995 0
bb9_457 1995 0
bb9_458 1995 1
bb9_459 1995 1
bb9_460 1995 1
bb9_461 1995 1
bb9_462 1995 0
bb9_463 1995 1
bb9_464 1995 1
bb9_465 1995 0
bb9_467 1995 0
bb9_468 1995 0
bb9_469 1995 0
bb9_470 1995 0
bb9_471 1995 1
bb9_472 1995 1
bb9_473 1995 1
bb9_474 1995 1
bb9_475 1995 0
bb9_476 1995 0
bb9_477 1995 1
bb9_479 1995 0
bb9_480 1995 0
bb9_481 1995 0
bb9_482 1995 0
bb9_483 1995 0
bb9_484 1995 0
bb9_485 1995 0
bb9_486 1995 0
bb9_487 1995 1
bb9_488 1995 1
bb9_489 1995 1
bb9_490 1995 1
bb9_491 1995 0
bb9_492 1995 0
bb9_493 1995 1
bb9_494 1995 1
bb9_496 1997 0
bb9_497 1997 0
bb9_498 1997 0
bb9_499 1997 0
bb9_500 1997 0
bb9_501 1997 0
bb9_502 1997 0
bb9_503 1997 1
bb9_504 1997 1
bb9_505 1997 0
bb9_506 1997 0
bb9_507 1997 0
bb9_508 1997 0
bb9_509 1997 1
bb9_510 1997 1
bb9_511 1997 0
bb9_512 1997 0
bb9_513 1997 0
bb9_514 1997 0
bb9_515 1997 1
bb9_516 1997 1
bb9_517 1997 0
bb9_518 1997 0
bb9_519 1997 0
bb9_520 1997 0
bb9_521 1997 1
bb9_522 1997 1
bb9_523 1997 1
bb9_524 1997 1
bb9_525 1997 1
bb9_526 1997 1
bb9_527 1997 1
bb9_528 1997 1
bb9_529 1997 0
bb9_530 1997 0
bb9_531 1997 0
bb9_532 1997 0
bb9_533 1997 1
bb9_534 1997 1
bb9_535 1997 0
bb9_536 1997 0
bb9_537 1997 1
bb9_538 1997 1
bb9_539 1997 1
bb9_540 1997 1
bb9_541 1997 0
bb9_542 1997 0
bb9_543 1997 0
bb9_544 1997 0
bb9_545 1997 0
bb9_546 1997 0
bb9_547 1997 0
bb9_548 1997 0
bb9_549 1997 0
bb9_550 1997 0
bb9_551 1997 1
bb9_552 1997 1
bb9_553 1997 0
bb9_554 1997 0
bb9_555 1997 0
bb9_556 1997 0
bb9_557 1997 0
bb9_558 1997 0
bb9_559 1997 1
bb9_560 1997 1
bb9_561 1997 1
bb9_562 1997 1
bb9_563 1997 0
bb9_564 1997 0
bb9_565 1997 0
bb9_566 1997 0
bb9_567 1997 1
bb9_568 1997 1
bb9_569 1997 1
bb9_570 1997 1
bb9_571 1997 0
bb9_572 1997 0
bb9_573 1997 1
bb9_574 1997 1
bb9_575 1997 1
bb9_576 1997 1
bb9_577 1997 1
bb9_578 1997 1
bb9_579 1997 0
bb9_580 1997 0
bb9_581 1997 1
bb9_582 1997 1
bb9_583 1997 0
bb9_584 1997 0
bb9_585 1997 1
bb9_586 1997 1
bb9_587 1997 0
bb9_588 1997 0
bb9_589 1997 1
bb9_590 1997 1
bb9_591 1997 1
bb9_592 1997 1
bb9_593 1997 0
bb9_594 1997 0
bb9_595 1997 1
bb9_596 1997 1
bb9_597 1997 0
bb9_598 1997 0
bb9_599 1997 1
bb9_600 1997 1
bb9_601 1997 1
bb9_602 1997 1
bb9_603 1997 1
bb9_604 1997 1
bb9_605 1997 0
bb9_606 1997 0
bb9_607 1997 1
bb9_608 1997 1
bb9_609 1997 1
bb9_610 1997 1
bb9_611 1997 1
bb9_612 1997 1
bb9_613 1997 0
bb9_614 1997 0
bb9_615 1997 0
bb9_616 1997 0
bb9_617 1997 0
bb9_618 1997 0
bb9_619 1997 1
bb9_620 1997 1
bb9_621 1997 0
bb9_622 1997 0
bb9_623 1997 0
bb9_624 1997 0
bb9_625 1997 1
bb9_626 1997 1
bb9_627 1997 0
bb9_628 1997 0
bb9_629 1997 0
bb9_630 1997 0
bb9_631 1997 1
bb9_632 1997 1
bb9_633 1997 0
bb9_634 1997 0
bb9_635 1997 1
bb9_636 1997 1
bb9_637 1997 0
bb9_638 1997 0
bb9_639 1997 1
bb9_640 1997 1
bb9_641 1997 0
bb9_642 1997 0
bb9_643 1997 0
bb9_644 1997 0
bb9_645 1997 0
bb9_646 1997 0
bb9_647 1997 1
bb9_648 1997 1
bb9_649 1997 1
bb9_650 1997 1
bb9_651 1997 1
bb9_652 1997 1
bb9_653 1997 1
bb9_654 1997 1
bb9_655 1997 0
bb9_656 1997 0
bb9_657 1997 1
bb9_658 1997 1
bb9_659 1997 0
bb9_660 1997 0
bb9_661 1997 1
bb9_662 1997 1
bb9_663 1997 0
bb9_664 1997 0
bb9_665 1997 0
bb9_666 1997 0
bb9_667 1997 1
bb9_668 1997 1
bb9_669 1997 0
bb9_670 1997 0
bb9_671 1997 0
bb9_672 1997 0
bb9_673 1997 0
bb9_674 1997 0
bb9_675 1997 0
bb9_676 1997 0
bb9_677 1997 1
bb9_678 1997 1
bb9_679 1997 0
bb9_680 1997 0
bb9_681 1997 1
bb9_682 1997 1
bb9_683 1997 1
bb9_684 1997 1
bb9_685 1997 1
bb9_686 1997 1
bb9_687 1997 0
bb9_688 1997 0
bb9_689 1997 0
bb9_690 1997 0
bb9_691 1997 1
bb9_692 1997 1
bb9_693 1997 0
bb9_694 1997 0
bb9_695 1997 0
bb9_696 1997 0
bb9_697 1997 1
bb9_698 1997 1
bb9_699 1997 1
bb9_700 1997 1
bb9_701 1997 1
bb9_702 1997 1
bb9_703 1997 0
bb9_704 1997 0
bb9_705 1997 0
bb9_706 1997 0
bb9_707 1997 0
bb9_708 1997 0
bb9_709 1997 1
bb9_710 1997 1
bb9_711 1997 1
bb9_712 1997 1
bb9_713 1997 0
bb9_714 1997 0
bb9_715 1997 0
bb9_716 1997 0
bb9_717 1997 0
bb9_718 1997 0
bb9_719 1997 0
bb9_720 1997 0
bb9_721 1997 1
bb9_722 1997 1
bb9_723 1997 1
bb9_724 1997 1
bb9_725 1997 1
bb9_726 1997 1
bb9_727 1997 1
bb9_728 1997 1
bb9_729 1997 1
bb9_730 1997 1
bb9_731 1997 0
bb9_732 1997 0
bb9_733 1997 1
bb9_734 1997 1
bb9_735 1997 1
bb9_736 1997 0
bb9_738 1997 0
bb9_740 1997 1
bb9_742 1997 1
bb9_744 1997 1
bb9_746 1997 1
bb9_748 1997 0
bb9_750 1997 1
bb9_752 1997 0
bb9_754 1997 1
bb9_756 1997 0
bb9_758 1997 1
bb9_760 1997 0
bb9_762 1997 0
bb9_764 1997 1
bb9_766 1997 1
bb9_768 1997 1
bb9_770 1997 1
bb9_772 1997 0
bb9_773 1997 0
bb9_774 1997 0
bb9_775 1997 1
bb9_776 1997 1
bb9_777 1997 1
bb9_778 1997 1
bb9_779 1997 1
bb9_780 1997 1
bb9_781 1997 1
bb9_782 1997 1
bb9_783 1997 0
bb9_784 1997 0
bb9_785 1997 1
bb9_786 1997 1
bb9_787 1997 1
bb9_788 1997 1
bb9_789 1997 0
bb9_790 1997 0
bb9_791 1997 0
bb9_792 1997 0
bb9_793 1997 0
bb9_794 1997 0
bb9_795 1997 0
bb9_796 1997 0
bb9_797 1997 1
bb9_798 1997 1
bb9_799 1997 1
bb9_800 1997 1
bb9_801 1997 0
bb9_802 1997 0
bb9_803 1997 0
bb9_804 1997 0
bb9_805 1997 0
bb9_806 1997 0
bb9_807 1997 1
bb9_808 1997 1
bb9_809 1997 1
bb9_810 1997 1
bb9_811 1997 0
bb9_812 1997 0
bb9_813 1997 1
bb9_814 1997 1
bb9_815 1997 1
bb9_816 1997 1
bb9_817 1997 0
bb9_818 1997 0
bb9_819 1997 0
bb9_820 1997 0
bb9_821 1997 1
bb9_822 1997 1
bb9_823 1997 1
bb9_824 1997 1
bb9_825 1997 0
bb9_826 1997 0
bb9_827 1997 0
bb9_828 1997 0
bb9_829 1997 0
bb9_830 1997 0
bb9_831 1997 1
bb9_832 1997 1
bb9_833 1997 1
bb9_834 1997 1
bb9_835 1997 1
bb9_836 1997 1
bb9_837 1997 1
bb9_838 1997 1
bb9_839 1997 1
bb9_840 1997 1
bb9_841 1997 0
bb9_842 1997 0
bb9_843 1997 0
bb9_844 1997 0
bb9_845 1997 1
bb9_846 1997 1
bb9_847 1997 1
bb9_848 1997 1
bb9_849 1997 1
bb9_850 1997 1
bb9_851 1997 1
bb9_852 1997 1
bb9_853 1997 0
bb9_854 1997 0
bb9_855 1997 0
bb9_856 1997 0
bb9_857 1997 1
bb9_858 1997 1
bb9_859 1997 0
bb9_860 1997 0
bb9_861 1997 0
bb9_862 1997 0
bb9_863 1997 0
bb9_864 1997 0
bb9_865 1997 0
bb9_866 1997 0
bb9_867 1997 0
bb9_868 1997 0
bb9_869 1997 0
bb9_870 1997 0
bb9_871 1997 1
bb9_872 1997 1
bb9_873 1997 0
bb9_874 1997 0
bb9_875 1997 0
bb9_876 1997 0
bb9_877 1997 1
bb9_878 1997 1
bb9_879 1997 0
bb9_880 1997 0
bb9_881 1997 0
bb9_882 1997 0
bb9_883 1997 0
bb9_884 1997 0
bb9_885 1997 0
bb9_886 1997 0
bb9_887 1997 1
bb9_888 1997 1
bb9_889 1997 0
bb9_890 1997 0
bb9_891 1997 1
bb9_892 1997 1
bb9_893 1997 0
bb9_894 1997 0
bb9_895 1997 0
bb9_896 1997 0
bb9_897 1997 1
bb9_898 1997 1
bb9_899 1997 1
bb9_900 1997 1
bb9_901 1997 1
bb9_902 1997 1
bb9_903 1997 1
bb9_904 1997 1
bb9_905 1997 0
bb9_906 1997 0
bb9_907 1997 0
bb9_908 1997 0
bb9_909 1997 1
bb9_910 1997 1
bb9_911 1997 0
bb9_912 1997 0
bb9_913 1997 1
bb9_914 1997 1
bb9_915 1997 0
bb9_916 1997 0
bb9_917 1997 1
bb9_918 1997 1
bb9_919 1997 0
bb9_920 1997 0
bb9_921 1997 1
bb9_922 1997 1
bb9_923 1997 1
bb9_924 1997 1
bb9_925 1997 0
bb9_926 1997 0
bb9_927 1997 1
bb9_928 1997 1
bb9_929 1997 1
bb9_930 1997 1
bb9_931 1997 1
bb9_932 1997 1
bb9_933 1997 1
bb9_934 1997 1
bb9_935 1997 1
bb9_936 1997 1
bb9_937 1997 0
bb9_938 1997 0
bb9_939 1997 0
bb9_940 1997 0
bb9_941 1997 0
bb9_942 1997 0
bb9_943 1997 0
bb9_944 1997 0
bb9_945 1997 1
bb9_946 1997 1
bb9_947 1997 0
bb9_948 1997 0
bb9_949 1997 1
bb9_950 1997 1
bb9_951 1997 1
bb9_952 1997 1
bb9_953 1997 1
bb9_954 1997 1
bb9_955 1997 0
bb9_956 1997 0
bb9_957 1997 1
bb9_958 1997 1
bb9_959 1997 0
bb9_960 1997 0
bb9_961 1997 1
bb9_962 1997 1
bb9_963 1997 1
bb9_964 1997 1
bb9_965 1997 0
bb9_966 1997 0
bb9_967 1997 1
bb9_968 1997 1
bb9_969 1997 0
bb9_970 1997 0
bb9_971 1997 1
bb9_972 1997 1
bb9_973 1997 0
bb9_974 1997 0
bb9_975 1997 0
bb9_976 1997 0
bb9_977 1997 1
bb9_978 1997 1
bb9_979 1997 0
bb9_980 1997 0
bb9_981 1997 0
bb9_982 1997 0
bb9_983 1997 1
bb9_984 1997 1
bb9_985 1997 1
bb9_986 1997 1
bb9_987 1997 0
bb9_988 1997 0
bb9_989 1997 0
bb9_990 1997 0
bb9_991 1997 0
bb9_992 1997 0
bb9_993 1997 1
bb9_994 1997 1
bb9_995 1997 1
bb9_996 1997 1
bb9_997 1997 1
bb9_998 1997 1
bb9_999 1997 0
bb9_1000 1997 0
bb9_1001 1997 1
bb9_1002 1997 1
bb9_1003 1997 0
bb9_1004 1997 0
bb9_1005 1997 1
bb9_1006 1997 1
bb9_1007 1997 0
bb9_1008 1997 0
bb9_1009 1997 1
bb9_1010 1997 1
bb9_1011 1997 0
bb9_1012 1997 0
bb9_1013 1997 0
bb9_1014 1997 0
bb9_1015 1997 0
bb9_1016 1997 0
bb9_1017 1997 0
bb9_1018 1997 0
bb9_1019 1997 0
bb9_1020 1997 0
bb9_1021 1997 0
bb9_1022 1997 0
bb9_1023 1997 1
bb9_1024 1997 1
bb9_1025 1997 1
bb9_1026 1997 1
bb9_1027 1997 0
bb9_1028 1997 0
bb9_1029 1997 0
bb9_1030 1997 0
bb9_1031 1997 1
bb9_1032 1997 1
bb9_1033 1997 0
bb9_1034 1997 0
bb9_1035 1997 0
bb9_1036 1997 0
bb9_1037 1997 0
bb9_1038 1997 0
bb9_1039 1997 1
bb9_1040 1997 1
bb9_1041 1997 1
bb9_1042 1997 1
bb9_1043 1997 0
bb9_1044 1997 0
bb9_1045 1997 0
bb9_1046 1997 0
bb9_1047 1997 1
bb9_1048 1997 1
bb9_1049 1997 0
bb9_1050 1997 0
bb9_1051 1997 1
bb9_1052 1997 1
bb9_1053 1997 1
bb9_1054 1997 1
bb9_1055 1997 1
bb9_1056 1997 1
bb9_1057 1997 0
bb9_1058 1997 0
bb9_1059 1997 0
bb9_1060 1997 0
bb9_1061 1997 0
bb9_1062 1997 0
bb9_1063 1997 1
bb9_1064 1997 1
bb9_1065 1997 1
bb9_1066 1997 1
bb9_1067 1997 1
bb9_1068 1997 1
bb9_1069 1997 0
bb9_1070 1997 0
bb9_1071 1997 0
bb9_1072 1997 0
bb9_1073 1997 0
bb9_1074 1997 0
bb9_1075 1997 1
bb9_1076 1997 1
bb9_1077 1997 1
bb9_1078 1997 1
bb9_1079 1997 0
bb9_1080 1997 0
bb9_1081 1997 0
bb9_1082 1997 0
bb9_1083 1997 0
bb9_1084 1997 0
bb9_1085 1997 0
bb9_1086 1997 0
bb9_1087 1997 0
bb9_1088 1997 0
bb9_1089 1997 1
bb9_1090 1997 1
bb9_1091 1997 1
bb9_1092 1997 1
bb9_1093 1997 1
bb9_1094 1997 1
bb9_1095 1997 0
bb9_1096 1997 0
bb9_1097 1997 0
bb9_1098 1997 0
bb9_1099 1997 0
bb9_1100 1997 0
bb9_1101 1997 1
bb9_1102 1997 1
bb9_1103 1997 1
bb9_1104 1997 1
bb9_1105 1997 0
bb9_1106 1997 0
bb9_1107 1997 1
bb9_1108 1997 1
bb9_1109 1997 0
bb9_1110 1997 0
bb9_1111 1997 1
bb9_1112 1997 1
bb9_1113 1997 0
bb9_1114 1997 0
bb9_1115 1997 0
bb9_1116 1997 0
bb9_1117 1997 0
bb9_1118 1997 0
bb9_1119 1997 0
bb9_1120 1997 0
bb9_1121 1997 1
bb9_1122 1997 1
bb9_1123 1997 1
bb9_1124 1997 1
bb9_1125 1997 0
bb9_1126 1997 0
bb9_1127 1997 1
bb9_1128 1997 1
bb9_1129 1997 0
bb9_1130 1997 0
bb9_1131 1997 1
bb9_1132 1997 1
bb9_1133 1997 1
bb9_1134 1997 1
bb9_1135 1997 1
bb9_1136 1997 1
bb9_1137 1997 0
bb9_1138 1997 0
bb9_1139 1997 1
bb9_1140 1997 1
bb9_1141 1997 0
bb9_1142 1997 0
bb9_1143 1997 0
bb9_1144 1997 0
bb9_1145 1997 0
bb9_1146 1997 0
bb9_1147 1997 0
bb9_1148 1997 0
bb9_1149 1997 1
bb9_1150 1997 1
bb9_1151 1997 0
bb9_1152 1997 0
bb9_1153 1997 0
bb9_1154 1997 0
bb9_1155 1997 1
bb9_1156 1997 1
bb9_1157 1997 0
bb9_1158 1997 0
bb9_1159 1997 0
bb9_1160 1997 0
bb9_1161 1997 1
bb9_1162 1997 1
bb9_1163 1997 1
bb9_1164 1997 1
bb9_1165 1997 0
bb9_1166 1997 0
bb9_1167 1997 0
bb9_1168 1997 0
bb9_1169 1997 0
bb9_1170 1997 0
bb9_1171 1997 0
bb9_1172 1997 0
bb9_1173 1997 0
bb9_1174 1997 0
bb9_1175 1997 1
bb9_1176 1997 1
bb9_1177 1997 0
bb9_1178 1997 0
bb9_1179 1997 0
bb9_1180 1997 0
bb9_1181 1997 1
bb9_1182 1997 1
bb9_1183 1997 1
bb9_1184 1997 1
bb9_1185 1997 0
bb9_1186 1997 0
bb9_1187 1997 0
bb9_1188 1997 0
bb9_1189 1997 0
bb9_1190 1997 0
bb9_1191 1997 0
bb9_1192 1997 0
bb9_1193 1997 1
bb9_1194 1997 1
bb9_1195 1997 0
bb9_1196 1997 0
bb9_1197 1997 1
bb9_1198 1997 1
bb9_1199 1997 1
bb9_1200 1997 1
bb9_1201 1997 1
bb9_1202 1997 1
bb9_1203 1997 1
bb9_1204 1997 1
bb9_1205 1997 1
bb9_1206 1997 1
bb9_1207 1997 0
bb9_1208 1997 0
bb9_1209 1997 0
bb9_1210 1997 0
bb9_1211 1997 0
bb9_1212 1997 0
bb9_1213 1997 0
bb9_1214 1997 0
bb9_1215 1997 0
bb9_1216 1997 0
bb9_1217 1997 1
bb9_1218 1997 1
bb9_1219 1997 1
bb9_1220 1997 1
bb9_1221 1997 0
bb9_1222 1997 0
bb9_1223 1997 0
bb9_1224 1997 0
bb9_1225 1997 1
bb9_1226 1997 1
bb9_1227 1997 1
bb9_1228 1997 1
bb9_1229 1997 1
bb9_1230 1997 1
bb9_1231 1997 0
bb9_1232 1997 0
bb9_1233 1997 1
bb9_1234 1997 1
bb9_1235 1997 0
bb9_1236 1997 0
bb9_1237 1997 0
bb9_1238 1997 0
bb9_1239 1997 1
bb9_1240 1997 1
bb9_1241 1997 0
bb9_1242 1997 0
bb9_1243 1997 0
bb9_1244 1997 0
bb9_1245 1997 0
bb9_1246 1997 0
bb9_1247 1997 0
bb9_1248 1997 0
bb9_1249 1997 0
bb9_1250 1997 0
bb9_1251 1997 1
bb9_1252 1997 1
bb9_1253 1997 0
bb9_1254 1997 0
bb9_1255 1997 1
bb9_1256 1997 1
bb9_1257 1997 0
bb9_1258 1997 0
bb9_1259 1997 0
