id year bid n1 n2 imps hand suit hcp suitq
bb9_497 1997 22 1 1 11 1 2 8 8
bb9_497 1997 0 1 1 -11 1 2 8 8
bb9_977 1997 22 1 1 12 3 2 9 4
bb9_977 1997 13 1 1 -12 3 2 9 4
bb9_1027 1997 23 1 1 2 1 2 10 9
bb9_1027 1997 0 1 1 -2 1 2 10 9
bb9_1033 1997 0 1 1 -5 1 2 9 15
bb9_1033 1997 23 1 1 5 1 2 9 15
bb9_1353 1997 22 1 1 0 2 2 6 6
bb9_1353 1997 0 1 1 0 2 2 6 6
bb9_1583 1997 22 1 1 0 1 2 9 7
bb9_1583 1997 0 1 1 0 1 2 9 7
bb9_1657 1997 21 1 1 -3 1 2 10 9
bb9_1657 1997 13 1 1 3 1 2 10 9
bb9_2045 2000 22 1 3 12 2 2 10 5
bb9_2045 2000 0 2 2 -24 2 2 10 5
bb9_2045 2000 13 1 3 12 2 2 10 5
bb9_2081 2000 13 2 2 -37 1 2 10 11
bb9_2081 2000 0 2 2 37 1 2 10 11
bb9_2461 2001 0 1 1 -6 1 2 6 7
bb9_2461 2001 22 1 1 6 1 2 6 7
bb9_2487 2001 0 1 1 -8 1 2 6 11
bb9_2487 2001 23 1 1 8 1 2 6 11
bb9_2507 2001 0 1 1 0 1 2 8 10
bb9_2507 2001 22 1 1 0 1 2 8 10
bb9_2525 2001 0 1 1 7 2 2 8 10
bb9_2525 2001 22 1 1 -7 2 2 8 10
bb9_2571 2001 22 1 1 3 2 2 7 3
bb9_2571 2001 0 1 1 -3 2 2 7 3
bb9_2585 2001 0 1 1 0 1 2 9 6
bb9_2585 2001 13 1 1 0 1 2 9 6
bb9_2647 2001 13 1 1 -11 1 2 9 8
bb9_2647 2001 0 1 1 11 1 2 9 8
bb9_2978 2003 0 1 2 -14 1 2 6 10
bb9_2978 2003 23 2 1 14 1 2 6 10
bb9_3569 2003 22 1 2 14 2 2 7 7
bb9_3569 2003 0 2 1 -14 2 2 7 7
bb9_3577 2003 0 2 1 1 1 2 5 0
bb9_3577 2003 23 1 2 -1 1 2 5 0
bb9_3586 2003 0 2 1 11 1 2 6 9
bb9_3586 2003 23 1 2 -11 1 2 6 9
bb9_4091 2003 0 1 1 0 1 2 10 9
bb9_4091 2003 13 1 1 0 1 2 10 9
bb9_4149 2003 0 1 1 0 1 2 10 12
bb9_4149 2003 13 1 1 0 1 2 10 12
bb9_4290 2003 13 1 1 7 1 2 10 15
bb9_4290 2003 0 1 1 -7 1 2 10 15
bb9_4675 2005 13 1 1 -6 2 2 9 7
bb9_4675 2005 0 1 1 6 2 2 9 7
bb9_4788 2005 0 1 3 0 3 2 8 1
bb9_4788 2005 12 1 3 0 3 2 8 1
bb9_4788 2005 22 2 2 0 3 2 8 1
bb9_5412 2005 0 2 1 -17 1 2 8 7
bb9_5412 2005 23 1 2 17 1 2 8 7
bb9_5468 2005 0 3 1 -13 1 2 9 10
bb9_5468 2005 13 1 3 13 1 2 9 10
bb9_5592 2005 0 1 1 4 2 2 9 6
bb9_5592 2005 23 1 1 -4 2 2 9 6
bb9_5804 2005 0 1 1 0 1 2 9 10
bb9_5804 2005 23 1 1 0 1 2 9 10
bb9_6027 2005 0 2 1 0 2 2 9 6
bb9_6027 2005 13 1 2 0 2 2 9 6
bb9_6043 2005 0 2 2 -8 2 2 8 10
bb9_6043 2005 22 2 2 8 2 2 8 10
bb9_7500 2007 0 1 1 4 1 2 10 12
bb9_7500 2007 13 1 1 -4 1 2 10 12
bb9_7651 2007 23 1 1 3 1 2 6 9
bb9_7651 2007 0 1 1 -3 1 2 6 9
bb9_7789 2007 0 1 1 -7 1 2 10 9
bb9_7789 2007 13 1 1 7 1 2 10 9
bb9_7877 2009 0 3 1 13 1 2 8 10
bb9_7877 2009 23 1 3 -13 1 2 8 10
bb9_7885 2009 13 2 2 -12 3 2 9 7
bb9_7885 2009 0 2 2 12 3 2 9 7
bb9_7893 2009 0 3 1 -19 1 2 6 10
bb9_7893 2009 23 1 3 19 1 2 6 10
bb9_8270 2009 13 1 1 -1 1 2 8 9
bb9_8270 2009 0 1 1 1 1 2 8 9
bb9_8310 2009 0 2 1 5 1 2 10 3
bb9_8310 2009 13 1 2 -5 1 2 10 3
bb9_8541 2009 22 1 5 -24 1 2 5 10
bb9_8541 2009 0 3 3 72 1 2 5 10
bb9_8541 2009 23 2 4 -48 1 2 5 10
bb9_8657 2009 23 1 5 21 1 2 6 8
bb9_8657 2009 0 5 1 -21 1 2 6 8
bb9_9105 2009 0 4 2 -86 1 2 5 4
bb9_9105 2009 23 2 4 86 1 2 5 4
bb9_9123 2009 0 6 2 57 1 2 10 8
bb9_9123 2009 23 1 7 -23 1 2 10 8
bb9_9123 2009 13 1 7 -34 1 2 10 8
bb9_9393 2009 0 7 1 15 3 2 7 8
bb9_9393 2009 13 1 7 -15 3 2 7 8
bb9_9926 2009 0 4 2 -28 1 2 5 11
bb9_9926 2009 23 1 5 11 1 2 5 11
bb9_9926 2009 22 1 5 17 1 2 5 11
bb9_9950 2009 0 5 1 -22 2 2 9 6
bb9_9950 2009 13 1 5 22 2 2 9 6
bb9_10034 2009 0 5 1 -39 1 2 5 5
bb9_10034 2009 22 1 5 39 1 2 5 5
bb9_10810 2009 23 1 5 -15 1 2 8 5
bb9_10810 2009 22 2 4 44 1 2 8 5
bb9_10810 2009 0 3 3 -29 1 2 8 5
bb9_10921 2009 23 2 1 -5 3 2 8 5
bb9_10921 2009 13 1 2 5 3 2 8 5
bb9_12138 2011 0 6 2 21 1 2 6 5
bb9_12138 2011 23 2 6 -21 1 2 6 5
bb9_12144 2011 0 7 1 1 2 2 6 6
bb9_12144 2011 23 1 7 -1 2 2 6 6
bb9_12843 2011 0 5 1 0 1 2 8 7
bb9_12843 2011 23 1 5 0 1 2 8 7
bb9_13029 2011 0 7 1 -50 1 2 6 10
bb9_13029 2011 23 1 7 50 1 2 6 10
bb9_13233 2011 0 5 1 36 3 2 8 4
bb9_13233 2011 21 1 5 -36 3 2 8 4
bb9_13933 2011 22 1 2 11 3 2 10 8
bb9_13933 2011 13 2 1 -11 3 2 10 8
bb9_14215 2011 13 2 1 -24 3 2 9 4
bb9_14215 2011 0 1 2 24 3 2 9 4
bb9_14231 2011 0 2 2 -5 1 2 9 7
bb9_14231 2011 23 1 3 14 1 2 9 7
bb9_14231 2011 13 1 3 -9 1 2 9 7
bb9_14265 2011 23 1 1 -7 1 2 6 9
bb9_14265 2011 0 1 1 7 1 2 6 9
bb9_14391 2011 0 1 1 -6 2 2 10 5
bb9_14391 2011 13 1 1 6 2 2 10 5
bb9_14731 2013 13 4 2 14 1 2 10 10
bb9_14731 2013 0 1 5 9 1 2 10 10
bb9_14731 2013 23 1 5 -23 1 2 10 10
bb9_15399 2013 23 2 2 10 1 2 6 9
bb9_15399 2013 0 2 2 -10 1 2 6 9
bb9_15443 2013 13 2 2 10 2 2 9 10
bb9_15443 2013 0 1 3 6 2 2 9 10
bb9_15443 2013 23 1 3 -16 2 2 9 10
ca_694 2000 13 1 1 1 3 2 8 7
ca_694 2000 23 1 1 -1 3 2 8 7
ca_1543 2007 0 1 1 12 1 2 10 2
ca_1543 2007 13 1 1 -12 1 2 10 2
ca_1844 2008 13 1 1 0 3 2 6 3
ca_1844 2008 0 1 1 0 3 2 6 3
dt_15 1997 21 1 1 0 1 2 5 5
dt_15 1997 0 1 1 0 1 2 5 5
dt_521 1999 22 1 1 13 3 2 6 6
dt_521 1999 23 1 1 -13 3 2 6 6
dt_529 2000 23 1 1 0 1 2 6 2
dt_529 2000 0 1 1 0 1 2 6 2
dt_662 2000 0 1 1 10 1 2 9 6
dt_662 2000 23 1 1 -10 1 2 9 6
dt_1062 2004 0 1 1 -7 2 2 7 7
dt_1062 2004 23 1 1 7 2 2 7 7
dt_1092 2004 13 1 1 2 2 2 10 11
dt_1092 2004 0 1 1 -2 2 2 10 11
dt_1907 2011 13 1 1 0 3 2 9 2
dt_1907 2011 0 1 1 0 3 2 9 2
dt_2282 2013 22 1 1 -2 1 2 6 11
dt_2282 2013 23 1 1 2 1 2 6 11
ec_69 1998 0 1 1 10 1 2 10 7
ec_69 1998 23 1 1 -10 1 2 10 7
ec_141 1998 0 1 1 -11 1 2 7 11
ec_141 1998 22 1 1 11 1 2 7 11
ec_291 1998 23 1 1 -4 1 2 8 13
ec_291 1998 22 1 1 4 1 2 8 13
ec_297 1998 0 1 1 -6 1 2 6 8
ec_297 1998 23 1 1 6 1 2 6 8
ec_547 1998 23 1 1 2 1 2 8 7
ec_547 1998 0 1 1 -2 1 2 8 7
ec_617 1998 23 1 1 0 3 2 10 4
ec_617 1998 13 1 1 0 3 2 10 4
ec_773 1998 0 1 1 1 1 2 7 10
ec_773 1998 23 1 1 -1 1 2 7 10
ec_851 2001 0 5 1 -42 1 2 8 3
ec_851 2001 23 1 5 42 1 2 8 3
ec_961 2001 23 1 3 43 2 2 9 9
ec_961 2001 0 2 2 -34 2 2 9 9
ec_961 2001 22 1 3 -9 2 2 9 9
ec_983 2001 23 1 3 3 1 2 10 8
