id year bid1 bid2 n1 n2 imps hand suit hcp suitq
bb9_1027 1997 23 0 1 1 2 1 2 10 9
bb9_1033 1997 23 0 1 1 5 1 2 9 15
bb9_2487 2001 23 0 1 1 8 1 2 6 11
bb9_2978 2003 23 0 2 1 14 1 2 6 10
bb9_3577 2003 23 0 1 2 -1 1 2 5 0
bb9_3586 2003 23 0 1 2 -11 1 2 6 9
bb9_5412 2005 23 0 1 2 17 1 2 8 7
bb9_5592 2005 23 0 1 1 -4 2 2 9 6
bb9_5804 2005 23 0 1 1 0 1 2 9 10
bb9_7651 2007 23 0 1 1 3 1 2 6 9
bb9_7877 2009 23 0 1 3 -13 1 2 8 10
bb9_7893 2009 23 0 1 3 19 1 2 6 10
bb9_8541 2009 23 0 2 3 -48 1 2 5 10
bb9_8657 2009 23 0 1 5 21 1 2 6 8
bb9_9105 2009 23 0 2 4 86 1 2 5 4
bb9_9123 2009 23 0 1 6 -25 1 2 10 8
bb9_9926 2009 23 0 1 4 12 1 2 5 11
bb9_10810 2009 23 0 1 3 -3 1 2 8 5
bb9_12138 2011 23 0 2 6 -21 1 2 6 5
bb9_12144 2011 23 0 1 7 -1 2 2 6 6
bb9_12843 2011 23 0 1 5 0 1 2 8 7
bb9_13029 2011 23 0 1 7 50 1 2 6 10
bb9_14231 2011 23 0 1 2 8 1 2 9 7
bb9_14265 2011 23 0 1 1 -7 1 2 6 9
bb9_14731 2013 23 0 1 1 -6 1 2 10 10
bb9_15399 2013 23 0 2 2 10 1 2 6 9
bb9_15443 2013 23 0 1 1 -6 2 2 9 10
dt_529 2000 23 0 1 1 0 1 2 6 2
dt_662 2000 23 0 1 1 -10 1 2 9 6
dt_1062 2004 23 0 1 1 7 2 2 7 7
ec_69 1998 23 0 1 1 -10 1 2 10 7
ec_297 1998 23 0 1 1 6 1 2 6 8
ec_547 1998 23 0 1 1 2 1 2 8 7
ec_773 1998 23 0 1 1 -1 1 2 7 10
ec_851 2001 23 0 1 5 42 1 2 8 3
ec_961 2001 23 0 1 2 29 2 2 9 9
ec_983 2001 23 0 1 1 -1 1 2 10 8
ec_1161 2001 23 0 2 2 -36 1 2 7 9
ec_1379 2001 23 0 1 4 -1 2 2 10 10
ec_1483 2004 23 0 2 7 -82 1 2 5 10
ec_1511 2004 23 0 1 8 -61 1 2 7 5
ec_2479 2004 23 0 2 8 -49 1 2 8 7
ec_2832 2004 23 0 2 1 19 3 2 8 7
ec_3032 2004 23 0 1 9 -17 1 2 5 8
ec_3040 2004 23 0 1 1 -13 1 2 9 10
ec_3194 2004 23 0 2 4 36 2 2 6 6
ec_3629 2004 23 0 1 9 -26 1 2 10 8
ec_3649 2004 23 0 4 3 -80 1 2 5 10
ec_3816 2004 23 0 1 9 -4 1 2 10 7
ec_4723 2004 23 0 2 3 17 1 2 10 8
ec_7079 2006 23 0 1 1 -6 2 2 9 8
ec_7443 2006 23 0 1 1 -1 1 2 8 9
ec_8209 2006 23 0 1 1 -1 2 2 10 11
ec_8211 2006 23 0 1 1 0 1 2 10 9
ec_8503 2007 23 0 1 11 12 2 2 8 6
ec_8571 2007 23 0 1 11 -38 1 2 9 3
ec_8573 2007 23 0 2 1 0 2 2 8 7
ec_8583 2007 23 0 1 8 -32 1 2 10 7
ec_9517 2007 23 0 2 5 0 1 2 8 8
ec_9733 2007 23 0 2 7 -52 2 2 5 11
ec_10679 2008 23 0 2 11 -5 2 2 9 4
ec_10942 2008 23 0 1 12 -97 2 2 7 4
ec_11202 2008 23 0 6 6 132 2 2 5 8
ec_12254 2008 23 0 1 6 20 1 2 8 8
ec_12458 2008 23 0 4 8 -71 1 2 10 13
ec_12657 2008 23 0 4 5 -42 1 2 8 9
ec_12667 2008 23 0 5 5 110 1 2 8 15
ec_13094 2008 23 0 3 8 163 1 2 10 5
ec_13546 2008 23 0 1 11 -123 1 2 6 6
ec_13572 2008 23 0 1 10 18 2 2 10 5
ec_14738 2008 23 0 4 6 52 1 2 8 5
ec_14740 2008 23 0 1 11 -94 1 2 6 12
ec_14750 2008 23 0 4 8 -52 1 2 9 5
ec_14971 2008 23 0 1 1 -1 3 2 9 9
ec_14991 2008 23 0 6 7 -28 1 2 8 10
ec_15253 2008 23 0 2 10 35 2 2 7 9
ec_15495 2008 23 0 1 11 -19 1 2 9 3
ec_15729 2008 23 0 5 7 147 1 2 7 10
ec_16880 2008 23 0 3 9 -48 2 2 8 10
ec_17826 2008 23 0 4 6 -137 1 2 9 9
ec_18064 2008 23 0 1 9 64 1 2 5 5
ec_18442 2008 23 0 1 12 -16 1 2 5 4
ec_19496 2009 23 0 2 1 22 3 2 9 8
ec_19730 2009 23 0 1 3 33 2 2 7 15
ec_20267 2009 23 0 1 2 0 3 2 7 2
ec_20435 2009 23 0 1 3 9 1 2 7 12
ec_20469 2009 23 0 1 3 14 2 2 5 7
ec_20481 2009 23 0 1 1 0 1 2 5 3
ec_20743 2009 23 0 1 3 11 1 2 6 3
