id year bid n1 n2 imps hand suit hcp suitq
bb9_234 1995 14 1 1 8 1 1 10 9
bb9_234 1995 0 1 1 -8 1 1 10 9
bb9_491 1995 0 1 1 4 1 1 10 8
bb9_491 1995 12 1 1 -4 1 1 10 8
bb9_535 1997 14 1 1 0 1 1 10 11
bb9_535 1997 0 1 1 0 1 1 10 11
bb9_675 1997 0 1 1 0 1 1 6 1
bb9_675 1997 24 1 1 0 1 1 6 1
bb9_699 1997 14 1 1 12 3 1 8 5
bb9_699 1997 0 1 1 -12 3 1 8 5
bb9_1087 1997 24 1 1 0 1 1 6 2
bb9_1087 1997 0 1 1 0 1 1 6 2
bb9_1125 1997 24 1 1 0 1 1 5 8
bb9_1125 1997 0 1 1 0 1 1 5 8
bb9_1313 1997 0 1 1 5 1 1 6 3
bb9_1313 1997 22 1 1 -5 1 1 6 3
bb9_1561 1997 0 1 1 11 1 1 9 8
bb9_1561 1997 14 1 1 -11 1 1 9 8
bb9_1729 2000 22 1 1 -4 2 1 9 11
bb9_1729 2000 0 1 1 4 2 1 9 11
bb9_2049 2000 24 3 1 -1 3 1 8 9
bb9_2049 2000 14 1 3 1 3 1 8 9
bb9_2115 2000 0 3 1 -31 1 1 9 12
bb9_2115 2000 22 1 3 31 1 1 9 12
bb9_2966 2003 0 1 1 10 1 1 8 1
bb9_2966 2003 24 1 1 -10 1 1 8 1
bb9_3183 2003 0 1 1 0 2 1 6 3
bb9_3183 2003 22 1 1 0 2 1 6 3
bb9_3268 2003 0 1 1 0 2 1 10 7
bb9_3268 2003 14 1 1 0 2 1 10 7
bb9_3302 2003 14 1 2 17 1 1 9 6
bb9_3302 2003 0 2 1 -17 1 1 9 6
bb9_3378 2003 14 1 1 -5 3 1 10 11
bb9_3378 2003 24 1 1 5 3 1 10 11
bb9_3393 2003 22 1 1 11 2 1 8 8
bb9_3393 2003 0 1 1 -11 2 1 8 8
bb9_3503 2003 22 1 1 0 1 1 6 12
bb9_3503 2003 24 1 1 0 1 1 6 12
bb9_3588 2003 0 2 1 -1 1 1 10 10
bb9_3588 2003 14 1 2 1 1 1 10 10
bb9_3814 2003 22 1 2 -22 1 1 9 8
bb9_3814 2003 14 1 2 10 1 1 9 8
bb9_3814 2003 0 1 2 12 1 1 9 8
bb9_4685 2005 14 1 1 -11 3 1 8 10
bb9_4685 2005 0 1 1 11 3 1 8 10
bb9_4703 2005 22 1 1 -4 1 1 9 13
bb9_4703 2005 0 1 1 4 1 1 9 13
bb9_4782 2005 0 1 4 5 2 1 10 10
bb9_4782 2005 14 3 2 15 2 1 10 10
