id year bid1 bid2 n1 n2 imps hand suit hcp suitq
bb9_675 1997 24 0 1 1 0 1 1 6 1
bb9_1087 1997 24 0 1 1 0 1 1 6 2
bb9_1125 1997 24 0 1 1 0 1 1 5 8
bb9_2966 2003 24 0 1 1 -10 1 1 8 1
bb9_4782 2005 24 0 1 1 -5 2 1 10 10
bb9_6051 2005 24 0 1 1 4 1 1 10 10
bb9_6136 2005 24 0 2 4 26 1 1 8 9
bb9_6708 2007 24 0 2 1 -4 1 1 5 6
bb9_7108 2007 24 0 3 1 -11 3 1 6 7
bb9_7320 2007 24 0 1 1 6 2 1 8 10
bb9_7697 2007 24 0 1 3 -17 1 1 6 7
bb9_7907 2009 24 0 1 3 19 2 1 9 8
bb9_8264 2009 24 0 1 3 -20 1 1 6 9
bb9_8302 2009 24 0 1 3 -25 1 1 6 6
bb9_8306 2009 24 0 2 2 9 1 1 7 9
bb9_8386 2009 24 0 1 1 0 2 1 8 8
bb9_8464 2009 24 0 4 2 102 1 1 5 10
bb9_8518 2009 24 0 3 1 -12 2 1 7 8
bb9_8529 2009 24 0 2 2 0 2 1 10 11
bb9_9101 2009 24 0 1 5 -21 1 1 8 6
bb9_9105 2009 24 0 1 1 -5 2 1 10 6
bb9_9628 2009 24 0 1 7 -30 1 1 8 6
bb9_9852 2009 24 0 1 2 -1 2 1 10 14
bb9_10333 2009 24 0 2 3 0 2 1 10 13
bb9_10774 2009 24 0 2 2 -54 1 1 7 12
bb9_11504 2011 24 0 1 9 -25 1 1 7 9
bb9_11750 2011 24 0 1 1 0 2 1 5 7
bb9_12607 2011 24 0 3 3 -16 1 1 6 3
bb9_12837 2011 24 0 1 5 8 1 1 9 5
bb9_13343 2011 24 0 1 6 33 2 1 8 14
bb9_13507 2011 24 0 1 2 0 2 1 10 5
bb9_13617 2011 24 0 1 1 5 3 1 9 10
bb9_14069 2011 24 0 1 2 11 2 1 9 11
bb9_14589 2013 24 0 1 2 0 1 1 7 8
bb9_14599 2013 24 0 1 3 2 1 1 7 5
