id year bid1 bid2 n1 n2 imps hand suit hcp suitq
bb9_448 1995 13 15 1 1 13 2 2 14 14
bb9_1089 1997 13 15 1 1 0 1 2 14 11
bb9_1763 2000 13 15 1 1 0 1 2 15 11
bb9_1793 2000 13 15 1 1 -12 2 2 14 7
bb9_1869 2000 13 15 1 1 -14 1 2 14 8
bb9_1897 2000 13 15 1 1 1 3 2 15 8
bb9_2954 2003 13 15 1 1 0 3 2 15 10
bb9_2981 2003 13 15 2 1 4 1 2 14 4
bb9_3406 2003 13 15 1 1 2 1 2 15 11
bb9_5910 2005 13 15 1 1 -7 2 2 15 14
bb9_6419 2007 13 15 1 1 0 2 2 15 6
bb9_6956 2007 13 15 3 1 -10 2 2 14 12
bb9_7072 2007 13 15 2 2 0 1 2 15 13
bb9_7801 2007 13 15 1 1 -1 1 2 15 11
bb9_8068 2009 13 15 1 1 5 2 2 15 14
bb9_8376 2009 13 15 1 1 6 1 2 14 13
bb9_9257 2009 13 15 2 4 -10 3 2 15 12
bb9_9610 2009 13 15 5 1 38 3 2 15 14
bb9_11377 2011 13 15 5 3 50 2 2 14 12
bb9_11860 2011 13 15 4 3 -1 1 2 15 12
bb9_12430 2011 13 15 1 2 -4 1 2 14 8
bb9_12617 2011 13 15 3 3 -3 1 2 15 8
bb9_13255 2011 13 15 2 4 31 1 2 14 9
bb9_13627 2011 13 15 2 2 -16 1 2 14 10
bb9_14049 2011 13 15 3 1 0 2 2 14 5
bb9_14135 2011 13 15 2 2 2 1 2 14 10
bb9_14251 2011 13 15 2 2 26 2 2 15 11
bb9_14633 2013 13 15 2 2 28 1 2 14 14
bb9_14653 2013 13 15 1 1 -13 3 2 15 10
bb9_14819 2013 13 15 2 6 -16 1 2 15 9
bb9_15497 2013 13 15 1 1 -10 1 2 14 11
ca_1686 2008 13 15 1 1 -11 1 2 14 7
dt_603 2000 13 15 1 1 -6 2 2 14 18
dt_1340 2006 13 15 1 1 0 1 2 15 10
dt_1613 2009 13 15 1 1 6 3 2 14 15
dt_2164 2013 13 15 1 1 0 1 2 14 12
ec_111 1998 13 15 1 1 -11 3 2 15 10
ec_861 2001 13 15 5 1 -20 1 2 15 12
ec_2071 2004 13 15 1 2 -22 3 2 15 18
ec_4727 2004 13 15 4 2 0 1 2 15 15
ec_6451 2004 13 15 8 1 -3 3 2 14 11
ec_7243 2006 13 15 1 1 0 1 2 14 13
ec_7635 2006 13 15 1 1 3 1 2 15 15
ec_8189 2006 13 15 1 1 1 1 2 15 3
ec_9587 2007 13 15 5 3 20 1 2 14 7
ec_10410 2008 13 15 12 1 35 1 2 14 11
ec_15265 2008 13 15 11 1 43 2 2 14 10
ec_15715 2008 13 15 11 3 150 1 2 14 13
ec_15725 2008 13 15 10 3 -100 2 2 14 15
ec_16456 2008 13 15 4 2 58 3 2 15 12
ec_16683 2008 13 15 8 1 -2 1 2 14 10
ec_17145 2008 13 15 8 2 62 1 2 14 9
ec_17347 2008 13 15 10 1 7 3 2 14 8
ec_19937 2009 13 15 1 1 -1 1 2 14 14
ec_20655 2009 13 15 3 1 20 1 2 14 10
ol_161 1992 13 15 2 2 2 1 2 15 11
ol_241 1992 13 15 1 1 10 2 2 14 11
ol_2026 1992 13 15 11 1 -66 1 2 14 10
ol_3956 1992 13 15 9 2 6 1 2 14 0
ol_4924 1992 13 15 11 1 3 1 2 14 8
ol_6128 1992 13 15 10 2 99 2 2 14 20
ol_6834 1992 13 15 11 1 17 1 2 14 9
ol_8012 1992 13 15 4 2 72 3 2 15 14
ol_10640 2000 13 15 6 2 -14 1 2 14 4
ol_11400 2000 13 15 3 1 12 1 2 14 15
ol_11506 2000 13 15 1 1 4 2 2 14 15
ol_12843 2004 13 15 2 1 -18 3 2 14 12
ol_13516 2004 13 15 3 1 -11 2 2 14 2
ol_14159 2004 13 15 6 1 -13 1 2 14 5
ol_14722 2004 13 15 2 1 -3 1 2 14 9
ol_15102 2004 13 15 1 1 -1 1 2 14 12
sg_1246 2000 13 15 1 1 8 1 2 15 12
sg_1745 2001 13 15 1 1 2 1 2 15 10
sg_2753 2004 13 15 1 1 11 1 2 15 12
sg_2923 2005 13 15 1 1 -1 1 2 15 11
sg_3250 2006 13 15 1 1 1 1 2 14 12
sg_4200 2007 13 15 3 1 -1 1 2 14 10
sg_7033 2010 13 15 1 1 -12 1 2 14 13
sg_7049 2010 13 15 1 1 4 1 2 14 14
sg_7159 2011 13 15 1 1 -2 1 2 14 6
sg_7566 2012 13 15 1 1 0 2 2 15 12
sg_8003 2012 13 15 1 1 0 1 2 14 11
sg_8347 2012 13 15 1 1 5 1 2 14 9
sg_8787 2013 13 15 1 3 -30 2 2 15 12
us_1056 2001 13 15 1 1 1 3 2 14 11
us_1983 2002 13 15 2 2 -4 1 2 14 7
us_2360 2003 13 15 1 1 0 1 2 15 16
us_3128 2004 13 15 1 1 3 1 2 14 15
us_3880 2005 13 15 2 2 1 1 2 15 9
us_5021 2006 13 15 3 1 -22 2 2 14 11
us_6256 2007 13 15 3 1 -4 2 2 14 11
us_6524 2007 13 15 1 3 -20 1 2 15 10
us_7280 2008 13 15 1 1 -1 2 2 15 14
us_9787 2009 13 15 1 1 -13 2 2 14 6
us_9825 2009 13 15 1 1 0 1 2 15 6
us_11361 2010 13 15 1 1 0 1 2 14 15
us_13708 2011 13 15 1 1 -1 2 2 14 6
us_14403 2011 13 15 1 1 0 1 2 14 7
