id year bid1 bid2 n1 n2 imps hand suit hcp suitq
bb9_657 1997 14 15 1 1 3 3 1 15 13
bb9_1205 1997 14 15 1 1 4 1 1 15 10
bb9_1593 1997 14 15 1 1 -1 2 1 15 9
bb9_2561 2001 14 15 1 1 6 2 1 14 15
bb9_5490 2005 14 15 1 1 -11 2 1 14 9
bb9_6948 2007 14 15 2 2 -12 1 1 15 12
bb9_7000 2007 14 15 1 3 0 2 1 15 5
bb9_7905 2009 14 15 1 3 21 1 1 14 8
bb9_7989 2009 14 15 1 1 -1 1 1 14 15
bb9_8015 2009 14 15 1 1 1 1 1 15 9
bb9_8023 2009 14 15 1 1 -4 2 1 15 14
bb9_8072 2009 14 15 1 1 4 3 1 15 13
bb9_8597 2009 14 15 2 4 -17 1 1 15 8
bb9_10409 2009 14 15 5 1 14 2 1 14 7
bb9_11059 2011 14 15 3 1 4 2 1 15 11
bb9_13161 2011 14 15 2 4 13 2 1 14 1
bb9_13611 2011 14 15 2 2 -7 1 1 15 12
bb9_13997 2011 14 15 2 2 3 2 1 15 15
bb9_15283 2013 14 15 3 1 -35 3 1 14 8
bb9_15365 2013 14 15 2 2 9 3 1 15 13
ca_1808 2008 14 15 1 1 -6 3 1 14 8
dt_123 1997 14 15 1 1 1 1 1 14 15
dt_1136 2004 14 15 1 1 1 1 1 14 7
dt_1558 2006 14 15 1 1 -5 2 1 15 12
dt_2220 2013 14 15 1 1 0 1 1 15 12
ec_639 1998 14 15 1 1 2 2 1 15 5
ec_1049 2001 14 15 3 2 29 3 1 15 16
ec_1071 2001 14 15 3 2 -7 2 1 15 5
ec_1685 2004 14 15 3 2 -19 2 1 14 9
ec_2850 2004 14 15 3 5 -68 2 1 15 11
ec_5106 2004 14 15 8 2 -22 3 1 14 12
ec_6049 2004 14 15 6 4 93 3 1 15 14
ec_7963 2006 14 15 1 1 -2 1 1 14 13
ec_8665 2007 14 15 6 6 96 1 1 14 8
ec_10272 2008 14 15 10 4 165 1 1 15 6
ec_10661 2008 14 15 10 3 78 2 1 14 9
ec_11220 2008 14 15 15 1 8 3 1 14 9
ec_16880 2008 14 15 6 3 12 3 1 14 13
ec_17828 2008 14 15 5 7 99 1 1 15 11
ec_19824 2009 14 15 1 2 0 2 1 14 14
ec_20891 2009 14 15 3 1 -5 1 1 14 10
ol_17 1992 14 15 3 1 -11 2 1 14 11
ol_2048 1992 14 15 7 5 -45 1 1 14 10
ol_2742 1992 14 15 6 6 4 1 1 15 17
ol_3452 1992 14 15 10 2 42 1 1 14 11
ol_6130 1992 14 15 7 4 6 2 1 14 8
ol_8040 1992 14 15 7 1 68 1 1 14 7
ol_8140 1992 14 15 4 4 -40 1 1 15 7
ol_11530 2000 14 15 1 1 -11 1 1 15 14
ol_11698 2000 14 15 1 2 -5 1 1 15 15
ol_14786 2004 14 15 2 1 4 2 1 15 6
ol_14864 2004 14 15 2 2 -12 2 1 15 5
sg_59 1996 14 15 1 1 3 2 1 15 9
sg_1122 1999 14 15 1 1 -10 2 1 14 14
sg_1324 2000 14 15 1 1 14 1 1 14 19
sg_1877 2001 14 15 1 1 -1 1 1 15 12
sg_2401 2002 14 15 1 1 10 2 1 15 14
sg_3893 2006 14 15 1 1 -5 1 1 15 12
sg_4842 2008 14 15 1 1 0 2 1 15 11
sg_7167 2011 14 15 1 1 -10 2 1 15 10
us_237 2000 14 15 1 1 0 1 1 15 10
us_2063 2002 14 15 2 1 -15 3 1 14 5
us_2936 2004 14 15 1 1 0 1 1 14 10
us_3110 2004 14 15 1 1 11 2 1 14 7
us_3210 2004 14 15 1 1 -7 2 1 14 11
us_3238 2004 14 15 1 1 10 2 1 14 7
us_4388 2005 14 15 2 1 4 1 1 14 11
us_5476 2007 14 15 1 1 0 3 1 15 10
us_5598 2007 14 15 1 1 0 2 1 14 6
us_5878 2007 14 15 3 1 -24 2 1 14 11
us_6254 2007 14 15 1 3 -6 1 1 15 8
us_7180 2008 14 15 1 1 0 1 1 14 10
us_7964 2008 14 15 5 1 23 3 1 14 11
us_9481 2009 14 15 1 1 0 2 1 14 9
us_10248 2009 14 15 1 1 -10 2 1 15 12
us_11443 2010 14 15 2 2 -24 1 1 14 11
us_12960 2010 14 15 1 1 2 1 1 14 5
us_14988 2011 14 15 1 1 4 1 1 14 8
us_15574 2012 14 15 2 2 -18 1 1 14 8
vb_228 1998 14 15 1 1 -4 1 1 14 11
vb_2392 2007 14 15 1 1 10 1 1 14 16
vb_2436 2007 14 15 1 1 17 1 1 14 14
vb_2454 2007 14 15 1 1 -4 3 1 15 8
vb_3217 2009 14 15 3 1 -9 1 1 14 8
vb_3280 2009 14 15 2 2 20 1 1 14 14
vb_3693 2009 14 15 1 1 12 2 1 15 15
vb_3963 2010 14 15 1 1 2 1 1 14 13
vb_4067 2010 14 15 2 2 0 1 1 14 11
vb_4073 2010 14 15 3 1 0 2 1 14 10
vb_5371 2012 14 15 1 1 -8 1 1 14 11
vb_6553 2013 14 15 1 2 -1 3 1 14 11
vb_6563 2013 14 15 2 2 -8 1 1 15 19
vb_6869 2014 14 15 1 1 -5 2 1 14 11
vb_6893 2014 14 15 1 1 -1 3 1 14 11
vb_6937 2014 14 15 2 2 -10 1 1 14 8
