id year bid n1 n2 imps hand suit hcp suitq
bb9_131 1991 13 1 1 -1 2 2 8 8
bb9_131 1991 22 1 1 1 2 2 8 8
bb9_499 1997 23 1 1 6 1 2 5 6
bb9_499 1997 0 1 1 -6 1 2 5 6
bb9_617 1997 23 1 1 6 1 2 7 9
bb9_617 1997 22 1 1 -6 1 2 7 9
bb9_695 1997 0 1 1 6 1 2 8 6
bb9_695 1997 22 1 1 -6 1 2 8 6
bb9_827 1997 22 1 1 -11 2 2 9 8
bb9_827 1997 0 1 1 11 2 2 9 8
bb9_941 1997 23 1 1 5 1 2 7 6
bb9_941 1997 0 1 1 -5 1 2 7 6
bb9_2200 2000 22 1 3 9 1 2 8 11
bb9_2200 2000 23 3 1 -9 1 2 8 11
bb9_2728 2003 0 1 2 1 2 2 9 11
bb9_2728 2003 22 1 2 1 2 2 9 11
bb9_2728 2003 23 1 2 -2 2 2 9 11
bb9_2785 2003 0 1 2 8 1 2 6 1
bb9_2785 2003 22 1 2 -4 1 2 6 1
bb9_2785 2003 23 1 2 -4 1 2 6 1
bb9_2831 2003 23 2 1 4 2 2 8 9
bb9_2831 2003 22 1 2 -4 2 2 8 9
bb9_3136 2003 22 2 2 0 1 2 7 11
bb9_3136 2003 23 2 2 0 1 2 7 11
bb9_3459 2003 23 2 1 -14 1 2 9 13
bb9_3459 2003 22 1 2 14 1 2 9 13
bb9_4376 2005 23 1 1 8 2 2 8 12
bb9_4376 2005 22 1 1 -8 2 2 8 12
bb9_4534 2005 23 1 1 -7 1 2 8 8
bb9_4534 2005 22 1 1 7 1 2 8 8
bb9_4734 2005 22 1 1 2 1 2 7 10
bb9_4734 2005 23 1 1 -2 1 2 7 10
bb9_4792 2005 23 1 2 -11 2 2 5 10
bb9_4792 2005 22 2 1 11 2 2 5 10
bb9_5280 2005 0 1 2 -19 1 2 6 4
bb9_5280 2005 22 2 1 19 1 2 6 4
bb9_5294 2005 33 1 1 9 3 2 6 7
bb9_5294 2005 23 1 1 -9 3 2 6 7
bb9_5478 2005 23 2 1 -9 2 2 8 4
bb9_5478 2005 0 1 2 9 2 2 8 4
bb9_5740 2005 33 1 1 -13 3 2 6 9
bb9_5740 2005 23 1 1 13 3 2 6 9
bb9_6100 2005 23 1 1 0 1 2 9 11
bb9_6100 2005 22 1 1 0 1 2 9 11
