id year bid1 bid2 n1 n2 imps hand suit hcp suitq
bb9_617 1997 22 23 1 1 -6 1 2 7 9
bb9_2200 2000 22 23 1 3 9 1 2 8 11
bb9_2728 2003 22 23 1 1 1 2 2 9 11
bb9_2785 2003 22 23 1 1 0 1 2 6 1
bb9_2831 2003 22 23 1 2 -4 2 2 8 9
bb9_3136 2003 22 23 2 2 0 1 2 7 11
bb9_3459 2003 22 23 1 2 14 1 2 9 13
bb9_4376 2005 22 23 1 1 -8 2 2 8 12
bb9_4534 2005 22 23 1 1 7 1 2 8 8
bb9_4734 2005 22 23 1 1 2 1 2 7 10
bb9_4792 2005 22 23 2 1 11 2 2 5 10
bb9_6100 2005 22 23 1 1 0 1 2 9 11
bb9_6156 2005 22 23 1 2 -20 1 2 9 10
bb9_7042 2007 22 23 1 1 3 1 2 5 6
bb9_7717 2007 22 23 1 3 2 1 2 8 5
bb9_8657 2009 22 23 1 3 -11 3 2 8 4
bb9_9119 2009 22 23 2 3 4 1 2 7 6
bb9_9940 2009 22 23 1 3 25 1 2 8 9
bb9_10233 2009 22 23 1 3 17 2 2 8 6
bb9_10973 2011 22 23 2 3 -39 1 2 7 3
bb9_11648 2011 22 23 1 2 0 2 2 7 12
bb9_12244 2011 22 23 1 5 54 1 2 9 17
bb9_12252 2011 22 23 2 3 -27 1 2 9 8
bb9_14939 2013 22 23 3 2 -15 1 2 8 5
bb9_15407 2013 22 23 1 1 -8 1 2 8 7
dt_5 1997 22 23 1 1 -5 1 2 8 7
dt_1110 2004 22 23 1 1 1 2 2 7 6
ec_39 1998 22 23 1 1 -7 1 2 9 6
ec_191 1998 22 23 1 1 6 2 2 9 14
ec_393 1998 22 23 1 1 1 1 2 7 5
ec_859 2001 22 23 3 3 50 2 2 8 11
ec_2491 2004 22 23 4 5 -104 1 2 8 10
ec_3206 2004 22 23 3 5 10 1 2 7 11
ec_4877 2004 22 23 1 6 29 1 2 9 9
ec_5102 2004 22 23 3 3 21 1 2 7 12
ec_6233 2004 22 23 3 3 -33 1 2 7 10
ec_6439 2004 22 23 5 3 -45 2 2 8 17
ec_7445 2006 22 23 1 1 -4 2 2 7 9
ec_8261 2006 22 23 1 1 4 1 2 8 9
ec_8413 2007 22 23 3 3 -21 1 2 8 4
