id year bid n1 n2 imps hand suit hcp suitq
bb9_129 1991 12 1 1 -12 1 1 7 6
bb9_129 1991 22 1 1 12 1 1 7 6
bb9_481 1995 24 1 1 1 1 1 9 8
bb9_481 1995 0 1 1 -1 1 1 9 8
bb9_503 1997 22 1 1 1 2 1 8 10
bb9_503 1997 24 1 1 -1 2 1 8 10
bb9_1093 1997 24 1 1 1 2 1 9 7
bb9_1093 1997 14 1 1 -1 2 1 9 7
bb9_1115 1997 0 1 1 13 1 1 7 9
bb9_1115 1997 24 1 1 -13 1 1 7 9
bb9_1241 1997 24 1 1 -6 1 1 9 11
bb9_1241 1997 14 1 1 6 1 1 9 11
bb9_2777 2003 23 2 1 1 2 1 8 5
bb9_2777 2003 24 1 2 -1 2 1 8 5
bb9_3567 2003 23 1 2 0 1 1 8 7
bb9_3567 2003 24 2 1 0 1 1 8 7
bb9_4372 2005 24 1 1 2 2 1 6 11
bb9_4372 2005 22 1 1 -2 2 1 6 11
bb9_4400 2005 22 1 1 1 1 1 9 13
bb9_4400 2005 24 1 1 -1 1 1 9 13
bb9_4486 2005 22 1 1 0 2 1 7 9
bb9_4486 2005 0 1 1 0 2 1 7 9
bb9_4784 2005 0 4 1 -64 1 1 5 7
bb9_4784 2005 22 1 4 64 1 1 5 7
bb9_5270 2005 22 1 1 -7 1 1 9 15
bb9_5270 2005 14 1 1 7 1 1 9 15
bb9_5350 2005 22 1 1 1 1 1 7 3
bb9_5350 2005 0 1 1 -1 1 1 7 3
bb9_7667 2007 24 1 1 -8 2 1 8 9
bb9_7667 2007 0 1 1 8 2 1 8 9
bb9_7883 2009 24 1 2 -26 1 1 9 14
bb9_7883 2009 0 1 2 13 1 1 9 14
bb9_7883 2009 22 1 2 13 1 1 9 14
bb9_8220 2009 0 1 3 5 1 1 9 11
bb9_8220 2009 14 2 2 2 1 1 9 11
bb9_8220 2009 24 1 3 -7 1 1 9 11
bb9_8284 2009 24 1 1 -10 1 1 6 10
bb9_8284 2009 22 1 1 10 1 1 6 10
bb9_8318 2009 0 3 1 37 2 1 9 7
bb9_8318 2009 14 1 3 -37 2 1 9 7
bb9_9830 2009 0 5 1 30 2 1 8 9
