id year bid1 bid2 n1 n2 imps hand suit hcp suitq
bb9_503 1997 22 24 1 1 1 2 1 8 10
bb9_4372 2005 22 24 1 1 -2 2 1 6 11
bb9_4400 2005 22 24 1 1 1 1 1 9 13
bb9_7883 2009 22 24 1 1 13 1 1 9 14
bb9_8284 2009 22 24 1 1 10 1 1 6 10
bb9_10139 2009 22 24 1 4 16 2 1 7 7
bb9_10223 2009 22 24 2 4 36 1 1 9 6
bb9_14531 2013 22 24 1 2 12 1 1 8 9
bb9_14935 2013 22 24 1 2 -12 2 1 5 4
bb9_15055 2013 22 24 2 3 12 1 1 7 11
dt_49 1997 22 24 1 1 0 1 1 9 9
dt_1348 2006 22 24 1 1 -5 1 1 8 14
dt_1440 2006 22 24 1 1 13 1 1 6 9
dt_1987 2011 22 24 1 1 -2 3 1 9 9
ec_657 1998 22 24 1 1 11 2 1 7 11
ec_2673 2004 22 24 3 1 2 1 1 6 4
ec_3014 2004 22 24 4 3 18 1 1 9 6
ec_3034 2004 22 24 3 1 35 1 1 8 3
ec_4035 2004 22 24 1 5 -15 1 1 6 10
ec_4901 2004 22 24 2 4 4 1 1 6 9
ec_6999 2006 22 24 1 1 0 3 1 7 9
ec_8643 2007 22 24 4 7 -13 1 1 8 12
ec_10242 2008 22 24 4 4 54 1 1 8 6
ec_10246 2008 22 24 1 4 -5 3 1 7 10
ec_11196 2008 22 24 4 4 -39 2 1 8 9
ec_11757 2008 22 24 3 6 43 1 1 7 10
ec_12663 2008 22 24 3 4 12 1 1 8 9
ec_13568 2008 22 24 4 3 -66 2 1 8 6
ec_16015 2008 22 24 4 6 -46 1 1 9 14
ec_19360 2009 22 24 2 2 -10 2 1 8 11
ec_20657 2009 22 24 1 2 7 1 1 7 8
ol_273 1992 22 24 1 1 -1 1 1 8 12
ol_349 1992 22 24 3 2 7 3 1 8 10
ol_1091 1992 22 24 4 3 119 1 1 6 9
ol_1788 1992 22 24 5 4 6 1 1 9 10
ol_2268 1992 22 24 5 4 30 1 1 9 10
ol_2520 1992 22 24 4 4 -37 2 1 9 10
ol_2764 1992 22 24 3 7 -46 1 1 9 15
ol_3486 1992 22 24 3 5 39 2 1 7 12
ol_3936 1992 22 24 7 4 -24 1 1 6 6
ol_4438 1992 22 24 5 3 8 1 1 8 10
ol_4684 1992 22 24 4 2 18 1 1 8 5
ol_5890 1992 22 24 4 2 -2 3 1 8 9
ol_6348 1992 22 24 4 4 36 1 1 9 13
ol_7550 1992 22 24 3 6 -26 3 1 7 13
ol_8737 1996 22 24 1 1 11 2 1 7 10
ol_9119 2000 22 24 5 8 -142 1 1 5 9
ol_9125 2000 22 24 6 5 32 2 1 8 13
ol_9355 2000 22 24 8 7 99 1 1 8 5
ol_9381 2000 22 24 3 7 -42 2 1 8 12
ol_11328 2000 22 24 2 1 2 1 1 9 12
ol_12315 2000 22 24 1 1 3 1 1 9 10
ol_12865 2004 22 24 3 1 15 1 1 8 6
ol_13084 2004 22 24 1 1 0 1 1 9 8
ol_14043 2004 22 24 5 3 15 1 1 8 9
ol_14796 2004 22 24 1 2 2 1 1 9 11
ol_14990 2004 22 24 2 1 6 2 1 9 14
ol_14998 2004 22 24 1 3 -2 1 1 7 12
sg_4116 2007 22 24 1 1 0 1 1 8 15
sg_4768 2008 22 24 1 1 0 2 1 7 6
sg_5594 2009 22 24 1 1 -1 1 1 9 11
sg_6864 2010 22 24 1 1 -5 1 1 8 5
us_1129 2001 22 24 1 1 -6 1 1 9 13
us_1407 2001 22 24 1 2 -12 2 1 8 14
us_1821 2002 22 24 1 1 0 1 1 8 11
us_3824 2005 22 24 1 1 12 1 1 8 10
us_3846 2005 22 24 1 1 -4 1 1 5 10
us_6520 2007 22 24 1 3 1 1 1 8 14
us_7366 2008 22 24 1 3 -16 1 1 7 8
us_7992 2008 22 24 1 3 -22 1 1 6 5
us_8713 2009 22 24 1 1 10 3 1 9 7
us_8727 2009 22 24 1 1 -7 2 1 8 5
us_9751 2009 22 24 1 1 -1 2 1 9 9
us_10514 2009 22 24 1 1 0 2 1 9 10
us_15041 2011 22 24 1 1 0 1 1 8 9
us_16965 2012 22 24 1 1 -7 2 1 7 5
vb_580 2002 22 24 1 1 0 2 1 9 16
vb_1132 2005 22 24 2 1 23 1 1 7 12
vb_2930 2008 22 24 1 1 -6 1 1 8 9
