ID Year single_bid_auction
deal_1 1955 0
deal_2 1955 0
deal_3 1955 0
deal_4 1955 0
deal_5 1955 0
deal_6 1955 0
deal_7 1955 0
deal_8 1955 0
deal_9 1955 0
deal_10 1955 0
deal_11 1955 0
deal_12 1955 0
deal_13 1955 0
deal_14 1955 0
deal_15 1955 0
deal_16 1955 0
deal_17 1955 0
deal_18 1955 0
deal_19 1955 0
deal_20 1955 0
deal_21 1955 0
deal_22 1955 0
deal_23 1955 0
deal_24 1955 0
deal_25 1955 0
deal_26 1955 0
deal_27 1955 0
deal_28 1955 0
deal_29 1955 0
deal_30 1955 0
deal_31 1955 0
deal_32 1955 0
deal_33 1955 0
deal_34 1955 0
deal_35 1955 0
deal_36 1955 0
deal_37 1955 0
deal_38 1955 0
deal_39 1955 0
deal_40 1955 0
deal_41 1955 0
deal_42 1955 0
deal_43 1955 0
deal_44 1955 0
deal_45 1955 0
deal_46 1955 0
deal_47 1955 0
deal_48 1955 0
deal_49 1955 0
deal_50 1955 0
deal_51 1955 0
deal_52 1955 0
deal_53 1955 0
deal_54 1955 0
deal_55 1955 0
deal_56 1955 0
deal_57 1955 0
deal_58 1955 0
deal_59 1955 0
deal_60 1955 0
deal_61 1955 0
deal_62 1955 0
deal_63 1955 0
deal_64 1955 0
deal_65 1955 0
deal_66 1955 0
deal_67 1955 0
deal_68 1955 0
deal_69 1955 0
deal_70 1955 0
deal_71 1955 0
deal_72 1955 0
deal_73 1955 0
deal_74 1955 0
deal_75 1955 0
deal_76 1955 0
deal_77 1955 0
deal_78 1955 0
deal_79 1955 0
deal_80 1955 0
deal_81 1955 0
deal_82 1955 0
deal_83 1955 0
deal_84 1955 0
deal_85 1955 0
deal_86 1955 0
deal_87 1955 0
deal_88 1955 0
deal_89 1955 0
deal_90 1955 0
deal_91 1955 0
deal_92 1955 0
deal_93 1955 0
deal_94 1955 0
deal_95 1955 0
deal_96 1955 0
deal_97 1955 0
deal_98 1955 0
deal_99 1955 0
deal_100 1955 0
deal_101 1955 0
deal_102 1955 0
deal_103 1955 0
deal_104 1955 0
deal_105 1955 0
deal_106 1955 0
deal_107 1955 0
deal_108 1955 0
deal_109 1955 0
deal_110 1955 0
deal_111 1955 0
deal_112 1955 0
deal_113 1955 0
deal_114 1955 0
deal_115 1955 0
deal_116 1955 0
deal_117 1955 0
deal_118 1955 0
deal_119 1955 0
deal_120 1955 0
deal_121 1955 0
deal_122 1955 0
deal_123 1955 0
deal_124 1955 0
deal_125 1955 0
deal_126 1955 0
deal_127 1955 0
deal_128 1955 0
deal_129 1955 0
deal_130 1955 0
deal_131 1955 0
deal_132 1955 0
deal_133 1955 0
deal_134 1955 0
deal_135 1955 0
deal_136 1955 0
deal_137 1955 0
deal_138 1955 0
deal_139 1955 0
deal_140 1955 0
deal_141 1955 0
deal_142 1955 0
deal_143 1955 0
deal_144 1955 0
deal_145 1955 0
deal_146 1955 0
deal_147 1955 0
deal_148 1955 0
deal_149 1955 0
deal_150 1955 0
deal_151 1955 0
deal_152 1955 0
deal_153 1955 0
deal_154 1955 0
deal_155 1955 0
deal_156 1955 0
deal_157 1955 0
deal_158 1955 0
deal_159 1955 0
deal_160 1955 0
deal_161 1955 0
deal_162 1955 0
deal_163 1955 0
deal_164 1955 0
deal_165 1955 0
deal_166 1955 0
deal_167 1955 0
deal_168 1955 0
deal_169 1955 0
deal_170 1955 0
deal_171 1955 0
deal_172 1955 0
deal_173 1955 0
deal_174 1955 0
deal_175 1955 0
deal_176 1955 0
deal_177 1955 0
deal_178 1955 0
deal_179 1955 0
deal_180 1955 0
deal_181 1955 0
deal_182 1955 0
deal_183 1955 0
deal_184 1955 0
deal_185 1955 0
deal_186 1955 0
deal_187 1955 0
deal_188 1955 0
deal_189 1955 0
deal_190 1955 0
deal_191 1955 0
deal_192 1955 0
deal_193 1955 0
deal_194 1955 0
deal_195 1955 0
deal_196 1955 0
deal_197 1955 0
deal_198 1955 0
deal_199 1955 0
deal_200 1955 0
deal_201 1955 0
deal_202 1955 0
deal_203 1955 0
deal_204 1955 0
deal_205 1955 0
deal_206 1955 0
deal_207 1955 0
deal_208 1955 0
deal_209 1955 0
deal_210 1955 0
deal_211 1955 0
deal_212 1955 0
deal_213 1955 0
deal_214 1955 0
deal_215 1955 0
deal_216 1955 0
deal_217 1955 0
deal_218 1955 0
deal_219 1955 0
deal_220 1955 0
deal_221 1955 0
deal_222 1955 0
deal_223 1955 0
deal_224 1955 0
deal_225 1955 0
deal_226 1955 0
deal_227 1955 0
deal_228 1955 0
deal_229 1955 0
deal_230 1955 0
